epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,318.957,0.64037,0.44372,0.98998,0.97315,0.9936,0.98648,0.80445,0.72489,0.38106,1.08638,0.000990365,0.000990365,0.000990365
43,325.518,0.64427,0.43856,0.99055,0.98926,0.99541,0.98988,0.81626,0.69144,0.37818,1.06042,0.000973861,0.000973861,0.000973861
44,332.108,0.64594,0.4523,0.9948,0.94524,0.95919,0.98196,0.80787,0.70871,0.42365,1.05764,0.000957358,0.000957358,0.000957358
45,338.66,0.65374,0.45399,0.99564,0.89923,0.93648,0.96972,0.81035,0.68123,0.47599,1.05851,0.000940855,0.000940855,0.000940855
46,345.225,0.65077,0.44534,0.99135,0.95678,0.98643,0.98669,0.82643,0.67933,0.38032,1.01878,0.000924352,0.000924352,0.000924352
47,351.823,0.62172,0.42586,0.98887,0.95225,0.95509,0.98117,0.80478,0.70747,0.4104,1.05068,0.000907848,0.000907848,0.000907848
48,358.386,0.63709,0.43215,0.9919,0.94454,0.98213,0.9821,0.8034,0.71459,0.39148,1.05543,0.000891345,0.000891345,0.000891345
49,364.913,0.62095,0.41938,0.98833,0.95054,0.97049,0.98738,0.81843,0.71677,0.4096,1.05409,0.000874842,0.000874842,0.000874842
50,371.445,0.61985,0.42707,0.97887,0.87771,0.85872,0.95148,0.78091,0.71265,0.74236,1.03163,0.000858338,0.000858338,0.000858338
51,378.018,0.61436,0.42509,0.97491,0.97559,1,0.98803,0.79927,0.74341,0.36972,1.1089,0.000841835,0.000841835,0.000841835
52,384.598,0.61893,0.41992,0.98392,0.97112,0.9653,0.99049,0.80727,0.72198,0.40277,1.07859,0.000825332,0.000825332,0.000825332
53,391.827,0.61184,0.41412,0.97608,0.97103,0.9704,0.98864,0.83431,0.67146,0.40406,1.0422,0.000808828,0.000808828,0.000808828
54,399.884,0.61915,0.41889,0.98819,0.94638,0.90133,0.96649,0.79519,0.75267,0.44852,1.12152,0.000792325,0.000792325,0.000792325
55,407.174,0.60692,0.41227,0.97064,0.97598,0.98916,0.99128,0.83889,0.65312,0.36449,1.03544,0.000775822,0.000775822,0.000775822
56,413.804,0.61896,0.41037,0.98549,0.98216,0.99092,0.98891,0.82016,0.6931,0.35882,1.05726,0.000759318,0.000759318,0.000759318
57,420.355,0.6201,0.40921,0.97955,0.94005,0.94853,0.98452,0.81307,0.7143,0.39677,1.06895,0.000742815,0.000742815,0.000742815
58,426.917,0.61363,0.41229,0.9807,0.96705,0.98672,0.98715,0.8048,0.76548,0.39655,1.0815,0.000726312,0.000726312,0.000726312
