epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.6806,0.63318,0.846,1,0.41541,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847
2,42.4353,0.26286,0.956,1,0.14969,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794
3,59.916,0.09214,1,1,0.02636,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402
4,76.1863,0.03303,1,1,0.01299,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,92.2126,0.01639,1,1,0.00413,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,108.217,0.02053,1,1,0.00366,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,124.24,0.02612,1,1,0.00093,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,140.308,0.01123,1,1,0.00205,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,156.124,0.01217,0.998,1,0.00421,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,172.149,0.01416,1,1,0.00124,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
11,189.587,0.01167,1,1,0.00105,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
12,213.359,0.00848,1,1,0.00108,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
13,232.36,0.0071,1,1,0.00046,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
14,250.351,0.0036,1,1,0.00061,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
15,266.57,0.00452,1,1,0.00279,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
16,284.91,0.00777,1,1,0.00056,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
17,306.282,0.00693,1,1,0.00042,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
18,327.994,0.00372,1,1,0.00045,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422,0.000792659,0.00026422
19,347.191,0.00639,1,1,0.0011,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703,0.000545109,0.000181703
20,366.597,0.00409,1,1,0.00061,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05,0.00029756,9.91865e-05
